@RELATION pacman

@ATTRIBUTE pacman_x NUMERIC
@ATTRIBUTE pacman_y NUMERIC
@ATTRIBUTE can_Stop {True, False}
@ATTRIBUTE can_North {True, False}
@ATTRIBUTE can_East {True, False}
@ATTRIBUTE can_South {True, False}
@ATTRIBUTE can_West {True, False}
@ATTRIBUTE ghost1_x NUMERIC
@ATTRIBUTE ghost1_y NUMERIC
@ATTRIBUTE ghost2_x NUMERIC
@ATTRIBUTE ghost2_y NUMERIC
@ATTRIBUTE ghost3_x NUMERIC
@ATTRIBUTE ghost3_y NUMERIC
@ATTRIBUTE ghost4_x NUMERIC
@ATTRIBUTE ghost4_y NUMERIC
@ATTRIBUTE ghost1_dist NUMERIC
@ATTRIBUTE ghost2_dist NUMERIC
@ATTRIBUTE ghost3_dist NUMERIC
@ATTRIBUTE ghost4_dist NUMERIC
@ATTRIBUTE num_food NUMERIC
@ATTRIBUTE nearest_food_dist NUMERIC
@ATTRIBUTE pacman_direction {North, South, East, West, Stop}
@ATTRIBUTE action {North, South, East, West, Stop}
@ATTRIBUTE score NUMERIC
@ATTRIBUTE score_change NUMERIC
@ATTRIBUTE next_pacman_x NUMERIC
@ATTRIBUTE next_pacman_y NUMERIC
@ATTRIBUTE next_direction {North, South, East, West, Stop}
@ATTRIBUTE next_nearest_food_dist NUMERIC
@ATTRIBUTE next_ghost1_dist NUMERIC
@ATTRIBUTE next_ghost2_dist NUMERIC
@ATTRIBUTE next_ghost3_dist NUMERIC
@ATTRIBUTE next_ghost4_dist NUMERIC
@ATTRIBUTE next_num_food NUMERIC

@DATA
13,9,True,True,True,True,True,6,9,6,11,13,6,13,8,7.0,9.0,4.0,1.0,1,?,West,West,-19,0.0,13,9,West,?,7.0,9.0,4.0,2.0,1
13,9,True,True,True,True,True,6,9,6,11,13,5,13,8,7.0,9.0,4.0,2.0,1,?,West,West,-19,-1.0,12,9,West,?,6.0,8.0,5.0,1.0,1
12,9,True,True,True,True,True,6,9,6,11,13,5,12,8,6.0,8.0,5.0,1.0,1,?,West,West,-20,0.0,12,9,West,?,6.0,8.0,5.0,1.0,1
12,9,True,True,True,True,True,6,9,6,11,13,5,12,8,6.0,8.0,5.0,1.0,1,?,West,West,-20,0.0,12,9,West,?,6.0,8.0,5.0,1.0,1
12,9,True,True,True,True,True,6,9,6,11,13,5,12,8,6.0,8.0,5.0,1.0,1,?,West,West,-20,0.0,12,9,West,?,6.0,8.0,5.0,1.0,1
12,9,True,True,True,True,True,6,9,6,11,13,5,12,8,6.0,8.0,5.0,1.0,1,?,West,West,-20,0.0,12,9,West,?,6.0,8.0,5.0,1.0,1
12,9,True,True,True,True,True,6,9,6,11,13,5,12,8,6.0,8.0,5.0,1.0,1,?,West,West,-20,199.0,12,8,South,?,7.0,9.0,4.0,0,1
12,8,True,True,True,True,True,6,9,6,11,13,5,12,8,7.0,9.0,4.0,0,1,?,South,South,179,0.0,12,8,South,?,7.0,9.0,4.0,0,1
12,8,True,True,True,True,True,6,9,6,11,13,5,7,1,7.0,9.0,4.0,0,1,?,South,South,179,0.0,12,8,South,?,7.0,8.0,4.0,0,1
12,8,True,True,True,True,True,6,9,6,11,13,5,7,1,7.0,8.0,4.0,0,1,?,South,South,179,0.0,12,8,South,?,7.0,8.0,4.0,0,1
12,8,True,True,True,True,True,6,9,6,10,13,5,7,1,7.0,8.0,4.0,0,1,?,South,South,179,0.0,12,8,South,?,7.0,8.0,4.0,0,1
12,8,True,True,True,True,True,6,9,6,10,13,5,7,1,7.0,8.0,4.0,0,1,?,South,South,179,-1.0,12,7,South,?,8.0,9.0,3.0,0,1
12,7,True,True,True,True,True,6,9,6,10,13,5,7,1,8.0,9.0,3.0,0,1,?,South,South,178,0.0,12,7,South,?,8.0,9.0,3.0,0,1
12,7,True,True,True,True,True,6,9,6,10,13,5,7,1,8.0,9.0,3.0,0,1,?,South,South,178,0.0,12,7,South,?,8.0,8.0,3.0,0,1
12,7,True,True,True,True,True,6,9,6,10,13,5,7,1,8.0,8.0,3.0,0,1,?,South,South,178,0.0,12,7,South,?,8.0,8.0,4.0,0,1
12,7,True,True,True,True,True,6,9,6,9,13,5,7,1,8.0,8.0,4.0,0,1,?,South,South,178,0.0,12,7,South,?,8.0,8.0,4.0,0,1
12,7,True,True,True,True,True,6,9,6,9,14,5,7,1,8.0,8.0,4.0,0,1,?,South,South,178,-1.0,12,6,South,?,9.0,9.0,3.0,0,1
12,6,True,True,True,True,True,6,9,6,9,14,5,7,1,9.0,9.0,3.0,0,1,?,South,South,177,0.0,12,6,South,?,10.0,9.0,3.0,0,1
12,6,True,True,True,True,True,6,9,6,9,14,5,7,1,10.0,9.0,3.0,0,1,?,South,South,177,0.0,12,6,South,?,10.0,10.0,3.0,0,1
12,6,True,True,True,True,True,6,10,6,9,14,5,7,1,10.0,10.0,3.0,0,1,?,South,South,177,0.0,12,6,South,?,10.0,10.0,3.0,0,1
12,6,True,True,True,True,True,6,10,5,9,14,5,7,1,10.0,10.0,3.0,0,1,?,South,South,177,0.0,12,6,South,?,10.0,10.0,3.0,0,1
12,6,True,True,True,True,True,6,10,5,9,14,5,7,1,10.0,10.0,3.0,0,1,?,South,South,177,-1.0,12,5,South,?,11.0,11.0,2.0,0,1
12,5,True,True,True,True,True,6,10,5,9,14,5,7,1,11.0,11.0,2.0,0,1,?,South,South,176,0.0,12,5,South,?,12.0,11.0,2.0,0,1
12,5,True,True,True,True,True,6,10,5,9,14,5,7,1,12.0,11.0,2.0,0,1,?,South,South,176,0.0,12,5,South,?,12.0,10.0,2.0,0,1
12,5,True,True,True,True,True,6,11,5,9,14,5,7,1,12.0,10.0,2.0,0,1,?,South,South,176,0.0,12,5,South,?,12.0,10.0,1.0,0,1
12,5,True,True,True,True,True,6,11,5,8,14,5,7,1,12.0,10.0,1.0,0,1,?,South,South,176,0.0,12,5,South,?,12.0,10.0,1.0,0,1
12,5,True,True,True,True,True,6,11,5,8,13,5,7,1,12.0,10.0,1.0,0,1,?,South,South,176,-1.0,12,4,South,?,13.0,11.0,2.0,0,1
12,4,True,True,True,True,True,6,11,5,8,13,5,7,1,13.0,11.0,2.0,0,1,?,South,South,175,0.0,12,4,South,?,14.0,11.0,2.0,0,1
